Afghanistan,5/9/2020,255
Africa,5/9/2020,"2,935"
Albania,5/9/2020,6
Algeria,5/9/2020,189
Andorra,5/9/2020,2
Angola,5/9/2020,
Anguilla,5/9/2020,
Antigua and Barbuda,5/9/2020,
Argentina,5/9/2020,165
Armenia,5/9/2020,146
Aruba,5/9/2020,
Asia,5/9/2020,"16,053"
Australia,5/9/2020,15
Austria,5/9/2020,59
Azerbaijan,5/9/2020,143
Bahamas,5/9/2020,
Bahrain,5/9/2020,330
Bangladesh,5/9/2020,636
Barbados,5/9/2020,1
Belarus,5/9/2020,951
Belgium,5/9/2020,585
Belize,5/9/2020,
Benin,5/9/2020,42
Bermuda,5/9/2020,
Bhutan,5/9/2020,
Bolivia,5/9/2020,185
Bosnia and Herzegovina,5/9/2020,20
Botswana,5/9/2020,
Brazil,5/9/2020,"10,169"
British Virgin Islands,5/9/2020,
Brunei,5/9/2020,
Bulgaria,5/9/2020,49
Burkina Faso,5/9/2020,4
Burundi,5/9/2020,
Cabo Verde,5/9/2020,6
Cambodia,5/9/2020,
Cameroon,5/9/2020,7
Canada,5/9/2020,"1,268"
CAR,5/9/2020,
Caribbean Netherlands,5/9/2020,
Cayman Islands,5/9/2020,
Chad,5/9/2020,62
Channel Islands,5/9/2020,
Chile,5/9/2020,"1,247"
China,5/9/2020,1
Colombia,5/9/2020,444
Comoros,5/9/2020,3
Congo,5/9/2020,
Costa Rica,5/9/2020,7
Croatia,5/9/2020,15
Cuba,5/9/2020,13
Curaçao,5/9/2020,
Cyprus,5/9/2020,1
Czechia,5/9/2020,18
Denmark,5/9/2020,101
Diamond Princess,5/9/2020,
Djibouti,5/9/2020,54
Dominica,5/9/2020,
Dominican Republic,5/9/2020,506
DRC,5/9/2020,74
Ecuador,5/9/2020,253
Egypt,5/9/2020,488
El Salvador,5/9/2020,42
Equatorial Guinea,5/9/2020,
Eritrea,5/9/2020,
Estonia,5/9/2020,8
Eswatini,5/9/2020,4
Ethiopia,5/9/2020,16
Europe,5/9/2020,"24,573"
Faeroe Islands,5/9/2020,
Falkland Islands,5/9/2020,
Fiji,5/9/2020,
Finland,5/9/2020,142
France,5/9/2020,579
French Guiana,5/9/2020,
French Polynesia,5/9/2020,
Gabon,5/9/2020,41
Gambia,5/9/2020,
Georgia,5/9/2020,3
Germany,5/9/2020,736
Ghana,5/9/2020,251
Gibraltar,5/9/2020,
Greece,5/9/2020,19
Greenland,5/9/2020,
Grenada,5/9/2020,
Guadeloupe,5/9/2020,
Guatemala,5/9/2020,68
Guinea,5/9/2020,33
Guinea-Bissau,5/9/2020,47
Guyana,5/9/2020,
Haiti,5/9/2020,5
Honduras,5/9/2020,86
Hong Kong,5/9/2020,
Hungary,5/9/2020,35
Iceland,5/9/2020,
India,5/9/2020,"3,113"
Indonesia,5/9/2020,533
Iran,5/9/2020,"1,529"
Iraq,5/9/2020,76
Ireland,5/9/2020,219
Isle of Man,5/9/2020,
Israel,5/9/2020,18
